recipe_id,recipe_name,cuisine,category,cooking_method,difficulty,prep_time_minutes,cook_time_minutes,total_time_minutes,servings,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,review_count,calories_per_serving,estimated_cost_usd,date_added,is_traditional,is_festival_special,ingredients_list,ingredient_count
RCP00001,Sajji,Pakistani,Main Course,Baked,Medium,43,129,172,7,Mild,Dinner,False,False,False,True,3.6,2070,500,9.2,2024-12-02,False,True,"Onion (1 medium), Garlic (6 cloves), Salt (to taste), Shrimp (933g), Chicken (4 tbsp), Oil (1 tbsp), Wheat Flour (299 g), Sugar (2 tbsp), Mustard Seeds (4 tbsp), Mutton (4 tbsp), Fenugreek Leaves (4 tbsp)",11
RCP00002,Dal Makhani,Pakistani,Main Course,Grilled,Easy,26,115,141,2,Medium,Dessert,False,False,False,True,4.1,326,264,10.79,2023-12-02,True,False,"Onion (3 medium), Garlic (3 cloves), Salt (to taste), Paneer (752g), Shrimp (1 tbsp), Chickpea Flour (259 g), Butter (229 ml)",7
RCP00003,Aloo Gosht,Pakistani,Main Course,Fried,Easy,43,16,59,4,Mild,Beverage,False,False,False,True,4.7,4701,596,6.45,2023-05-30,False,False,"Onion (2 medium), Garlic (8 cloves), Salt (to taste), Paneer (333g), Mint Leaves (2 tbsp), Spinach (2 medium), Potato (2 medium), Carrot (1 medium)",8
RCP00004,Sindhi Biryani,Pakistani,Main Course,Roasted,Easy,33,120,153,7,Medium,Lunch,True,False,False,True,4.0,3963,522,9.06,2026-02-01,True,False,"Onion (3 medium), Garlic (4 cloves), Salt (to taste), Chickpeas (269g), All-Purpose Flour (293 g), All-Purpose Flour (474 g), Eggs (4 tbsp), Vinegar (1 tbsp)",8
RCP00005,Haleem,Pakistani,Main Course,Grilled,Hard,42,179,221,6,Mild,Dinner,False,False,False,True,4.9,4312,277,13.48,2024-08-10,False,False,"Onion (2 medium), Garlic (8 cloves), Salt (to taste), Fish (863g), Mutton (3 tbsp), Beef (2 tbsp), Bay Leaf (1 tsp), Ghee (133 ml), Raisins (4 tbsp), Ginger (1 medium), Water (3 tbsp), Fenugreek Leaves (2 tbsp)",12
RCP00006,Sajji,Pakistani,Main Course,Steamed,Hard,59,131,190,7,Mild,Dinner,False,False,False,True,3.5,3372,750,10.44,2025-01-02,True,False,"Onion (3 medium), Garlic (7 cloves), Salt (to taste), Mutton (437g), Wheat Flour (482 g), Beef (3 tbsp), Potato (2 medium), Tofu (3 tbsp), Basmati Rice (373 g), Ginger (2 medium), Wheat Flour (492 g), Cashews (3 tbsp)",12
RCP00007,Chicken Tikka,Pakistani,Main Course,Fried,Easy,52,135,187,3,Medium,Breakfast,False,False,False,True,4.0,2462,744,13.66,2024-09-21,False,True,"Onion (3 medium), Garlic (4 cloves), Salt (to taste), Tofu (412g), Chicken (4 tbsp), Tomato (1 medium), Mutton (1 tbsp), Mint Leaves (3 tbsp), Garam Masala (2 tsp)",9
RCP00008,Chicken Tikka,Pakistani,Main Course,Pressure-cooked,Easy,21,36,57,6,Very Hot,Beverage,False,False,False,True,3.8,1041,491,11.48,2025-01-26,False,False,"Onion (2 medium), Garlic (3 cloves), Salt (to taste), Fish (763g), Lemon Juice (4 tbsp), Basmati Rice (399 g), Lentils (Dal) (1 tbsp)",7
RCP00009,Paya,Pakistani,Main Course,Pressure-cooked,Easy,53,158,211,6,Mild,Dinner,False,False,False,True,4.0,4156,347,9.67,2023-08-17,True,True,"Onion (1 medium), Garlic (3 cloves), Salt (to taste), Mutton (859g), Black Pepper (2 tsp), Sesame Seeds (1 tbsp), All-Purpose Flour (361 g)",7
RCP00010,Aloo Gosht,Pakistani,Main Course,Steamed,Easy,21,139,160,5,Medium,Dessert,False,False,False,True,4.1,3488,774,14.03,2026-02-12,False,False,"Onion (3 medium), Garlic (9 cloves), Salt (to taste), Paneer (869g), Mint Leaves (4 tbsp), Yogurt (431 ml), Yogurt (118 ml)",7
